Model,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,METEOR,BERTScore-F1,Time (s)
LexRank (extractive),0.3444935976952053,0.12385645656018957,0.21959999563869187,0.08560424306878148,0.32253048837477705,0.8623613119125366,8.797388792037964
BART-CNN (abstractive),0.43158297866136797,0.20409167054042665,0.3021666059786892,0.15875660761115648,0.3892390161908735,0.8812939524650574,190.16939210891724
