Model,Precision,Recall,F1,Train Time (s)
BiLSTM-CRF,0.7605979930370673,0.6587442355445193,0.7060165383518676,188.7595076560974
DistilBERT-NER,0.8915936952714536,0.9013810198300283,0.8964606444796619,317.7577793598175
