Model,BLEU,METEOR,ChrF,BERTScore-F1,Time (s)
Seq2Seq + Attention,0.04380037716222583,0.5495303277198521,0.4102314686792636,0.7603093981742859,395.6273238658905
Transformer (opus-mt),0.3637415217915294,0.6655251117097953,0.6423046368072595,0.8969595432281494,16.19348669052124
