Model,Accuracy,Macro-F1,Train Time (s)
TF-IDF + LogReg,0.8176605504587156,0.8160735345034578,14.108313798904419
BiLSTM,0.805045871559633,0.8045018384001434,21.57800793647766
DistilBERT,0.9036697247706422,0.9035230523637168,667.6700177192688
